type	id	chrom	strand	Up-stream Exon	Cassette Exon	Down-stream Exon	4th Exon	Transcrtip IDs	Region
CAS	chr2:-:NOL10:CAS:2	chr2	-	10829922:10830113	10824693:10824738	10822097:10822195	N/A	NR_048552,NM_001261392;NR_048552,NM_001261394;NR_048552,NM_024894	chr2:10822097-10830113
CAS	chr2:+:NOSTRIN:CAS:0	chr2	+	169699502:169699627	169707346:169707516	169707594:169707692	N/A	NM_001039724,NM_001171631;NM_001171632,NM_001171631;NM_052946,NM_001171631	chr2:169699502-169707692
CAS	chr2:-:NRXN1:CAS:0	chr2	-	50318461:50318632	50282093:50282182	50280409:50280728	N/A	NM_004801,NM_001135659;NM_138735,NM_001135659	chr2:50280409-50318632
CAS	chr2:-:NT5C1B-RDH14:CAS:0	chr2	-	18757450:18757634	18745111:18745385	18735989:18737074	N/A	NM_001199103,NM_001199104	chr2:18735989-18757634
CAS	chr2:+:NUP35:CAS:0	chr2	+	183995146:183995273	183995723:183995845	183998294:183998351	N/A	NM_001287584,NM_001287585;NM_138285,NM_001287585;NR_109856,NM_001287585	chr2:183995146-183998351
CAS	chr2:+:NUP35:CAS:1	chr2	+	183998294:183998351	184016236:184016377	184022172:184022241	N/A	NR_109856,NM_001287584;NR_109856,NM_001287585;NR_109856,NM_138285	chr2:183998294-184022241
CAS	chr2:-:OLA1:CAS:0	chr2	-	175113180:175113365	175111443:175111543	175094036:175094179	N/A	NM_001011708,NM_013341	chr2:175094036-175113365
CAS	chr2:-:ORMDL1:CAS:0	chr2	-	190648995:190649097	190647740:190647849	190647148:190647328	N/A	NM_001128150,NM_016467	chr2:190647148-190649097
CAS	chr2:+:OSBPL6:CAS:0	chr2	+	179226409:179226542	179236853:179236960	179238617:179238754	N/A	NM_001201482,NM_001201480;NM_001201482,NM_001201481;NM_001201482,NM_032523;NM_001201482,NM_145739	chr2:179226409-179238754
CAS	chr2:-:OTOF:CAS:0	chr2	-	26683515:26683615	26682876:26683073	26680071:26681088	N/A	NM_001287489,NM_004802;NM_001287489,NM_194248;NM_001287489,NM_194322;NM_194323,NM_004802;NM_194323,NM_194248;NM_194323,NM_194322	chr2:26680071-26683615
CAS	chr2:+:PARD3B:CAS:0	chr2	+	205990333:205990461	206023446:206023631	206036935:206037105	N/A	NM_152526,NM_057177;NM_152526,NM_205863	chr2:205990333-206037105
CAS	chr2:+:PARD3B:CAS:1	chr2	+	206110502:206110546	206165254:206165460	206166188:206166425	N/A	NM_057177,NM_152526;NM_057177,NM_205863	chr2:206110502-206166425
CAS	chr2:+:PARD3B:CAS:2	chr2	+	206265737:206265847	206305094:206305396	206364620:206364755	N/A	NM_205863,NM_057177;NM_205863,NM_152526	chr2:206265737-206364755
CAS	chr2:+:PDK1:CAS:0	chr2	+	173426948:173427019	173427469:173427528	173429231:173429415	N/A	NM_002610,NM_001278549;NR_103729,NM_001278549;NR_103731,NM_001278549	chr2:173426948-173429415
CAS	chr2:-:PID1:CAS:0	chr2	-	230135730:230136057	230127399:230127609	230020534:230020680	N/A	NM_001100818,NM_017933	chr2:230020534-230136057
CAS	chr2:-:PIGF:CAS:0	chr2	-	46819614:46819722	46815214:46815318	46808413:46808730	N/A	NM_002643,NM_173074	chr2:46808413-46819722
CAS	chr2:+:PKP4:CAS:0	chr2	+	159530395:159530512	159533251:159533379	159535093:159535166	N/A	NM_001005476,NM_003628	chr2:159530395-159535166
CAS	chr2:+:PLB1:CAS:0	chr2	+	28802494:28802574	28804935:28805000	28805272:28805372	N/A	NM_001170585,NM_153021	chr2:28802494-28805372
CAS	chr2:+:PMS1:CAS:0	chr2	+	190682743:190682906	190708690:190708806	190717381:190717503	N/A	NM_001128143,NM_000534;NM_001128143,NM_001128144;NM_001128143,NM_001289408;NM_001128143,NM_001289409;NR_110332,NM_000534;NR_110332,NM_001128144;NR_110332,NM_001289408;NR_110332,NM_001289409	chr2:190682743-190717503
CAS	chr2:-:POMC:CAS:0	chr2	-	25391367:25391559	25388505:25388554	25387510:25387661	N/A	NM_000939,NM_001035256	chr2:25387510-25391559
CAS	chr2:+:PPP1R21:CAS:0	chr2	+	48718157:48718309	48722818:48722910	48725632:48725874	N/A	NM_001193475,NM_001135629;NM_001193475,NM_152994;NM_001193475,NR_024188	chr2:48718157-48725874
CAS	chr2:+:PPP1R21:CAS:1	chr2	+	48725632:48725874	48732703:48732735	48734408:48734524	N/A	NM_001193475,NM_001135629;NM_001193475,NR_024188;NM_152994,NM_001135629;NM_152994,NR_024188	chr2:48725632-48734524
CAS	chr2:+:PSMD1:CAS:0	chr2	+	231926962:231927035	231927220:231927389	231931620:231931825	N/A	NR_034059,NM_001191037;NR_034059,NM_002807	chr2:231926962-231931825
CAS	chr2:+:PSMD1:CAS:1	chr2	+	232026054:232026223	232028349:232028441	232029914:232030000	N/A	NM_001191037,NM_002807;NM_001191037,NR_034059	chr2:232026054-232030000
CAS	chr2:-:PTPRN:CAS:0	chr2	-	220164707:220164981	220164422:220164508	220164027:220164106	N/A	NM_001199763,NM_001199764;NM_001199763,NM_002846	chr2:220164027-220164981
CAS	chr2:-:PUM2:CAS:0	chr2	-	20482708:20482992	20478344:20478580	20462954:20463221	N/A	NM_001282790,NM_001282752;NM_001282790,NM_015317;NM_001282791,NM_001282752;NM_001282791,NM_015317	chr2:20462954-20482992
CAS	chr2:+:R3HDM1:CAS:0	chr2	+	136396466:136396692	136399106:136399360	136402949:136403097	N/A	NM_001282799,NM_001282798;NM_001282799,NM_001282800;NM_001282799,NM_015361	chr2:136396466-136403097
CAS	chr2:-:RAB17:CAS:0	chr2	-	238494641:238494800	238486647:238486798	238485900:238486025	N/A	NR_033308,NM_022449	chr2:238485900-238494800
CAS	chr2:+:RAB3GAP1:CAS:0	chr2	+	135922164:135922266	135925263:135925283	135926115:135928279	N/A	NM_012233,NM_001172435	chr2:135922164-135928279
CAS	chr2:-:RBKS:CAS:0	chr2	-	28113124:28113263	28092639:28093757	28081306:28081438	N/A	NM_022128,NM_001287580	chr2:28081306-28113263
CAS	chr2:+:REG3G:CAS:0	chr2	+	79253839:79253957	79254160:79254297	79254933:79255059	N/A	NM_001270040,NM_001008387;NM_001270040,NM_198448	chr2:79253839-79255059
CAS	chr2:+:REL:CAS:0	chr2	+	61147176:61147244	61147518:61147613	61147709:61147777	N/A	NM_001291746,NM_002908	chr2:61147176-61147777
CAS	chr2:+:RIF1:CAS:0	chr2	+	152324514:152324660	152324988:152325065	152325155:152325270	N/A	NM_001177663,NM_018151;NM_001177664,NM_018151;NM_001177665,NM_018151	chr2:152324514-152325270
CAS	chr2:+:RPE:CAS:0	chr2	+	210880697:210880836	210880928:210880981	210881231:210881365	N/A	NM_001278285,NM_001278282;NM_001278285,NM_001278283;NM_001278285,NM_006916;NM_001278286,NM_001278282;NM_001278286,NM_001278283;NM_001278286,NM_006916;NM_001278288,NM_001278282;NM_001278288,NM_001278283;NM_001278288,NM_006916;NM_001278289,NM_001278282;NM_001278289,NM_001278283;NM_001278289,NM_006916;NM_199229,NM_001278282;NM_199229,NM_001278283;NM_199229,NM_006916	chr2:210880697-210881365
CAS	chr2:+:RUFY4:CAS:0	chr2	+	218937097:218937222	218937502:218937608	218937966:218938109	N/A	NR_034176,NM_198483	chr2:218937097-218938109
CAS	chr2:-:SAP130:CAS:0	chr2	-	128744359:128744536	128735559:128735663	128712560:128712918	N/A	NM_024545,NM_001145928	chr2:128712560-128744536
CAS	chr2:-:SCN7A:CAS:0	chr2	-	167297906:167298262	167292857:167292950	167288828:167289262	N/A	NM_002976,NR_045628	chr2:167288828-167298262
CAS	chr2:+:SEPT2:CAS:0	chr2	+	242274541:242274627	242274737:242274766	242275390:242275513	N/A	NM_001008491,NM_001282973;NM_001008492,NM_001282973;NM_001282972,NM_001282973;NM_004404,NM_001282973;NM_006155,NM_001282973	chr2:242274541-242275513
CAS	chr2:+:SLC1A4:CAS:0	chr2	+	65237731:65237897	65243574:65243807	65245205:65245399	N/A	NM_001193493,NM_003038	chr2:65237731-65245399
CAS	chr2:-:SLC25A12:CAS:0	chr2	-	172725191:172725333	172712344:172712459	172700879:172701018	N/A	NR_047549,NM_003705	chr2:172700879-172725333
CAS	chr2:+:SLC30A6:CAS:0	chr2	+	32390910:32390972	32396356:32396442	32399132:32399216	N/A	NM_001193515,NM_001193513;NM_001193515,NM_001193514;NM_001193515,NM_017964	chr2:32390910-32399216
CAS	chr2:+:SLC30A6:CAS:1	chr2	+	32400388:32400430	32402546:32402665	32409342:32409407	N/A	NM_001193514,NM_001193513;NM_001193515,NM_001193513;NM_017964,NM_001193513	chr2:32400388-32409407
CAS	chr2:+:SLC30A6:CAS:2	chr2	+	32431955:32432002	32434562:32434630	32445282:32449181	N/A	NM_001193514,NM_001193513;NM_001193514,NM_001193515;NM_001193514,NM_017964	chr2:32431955-32449181
CAS	chr2:-:SLC38A11:CAS:0	chr2	-	165802103:165802237	165801079:165801144	165795960:165796066	N/A	NM_173512,NM_001199148	chr2:165795960-165802237
CAS	chr2:+:SLC4A10:CAS:0	chr2	+	162480845:162481076	162565204:162565339	162627483:162627564	N/A	NM_001178015,NM_001178016;NM_022058,NM_001178016	chr2:162480845-162627564
CAS	chr2:+:SLC4A10:CAS:1	chr2	+	162728803:162728894	162730426:162730515	162735641:162735798	N/A	NM_001178016,NM_001178015;NM_022058,NM_001178015	chr2:162728803-162735798
CAS	chr2:-:SLC4A5:CAS:0	chr2	-	74454937:74455005	74454644:74454691	74454084:74454257	N/A	NM_133478,NM_021196	chr2:74454084-74455005
CAS	chr2:-:SMC6:CAS:0	chr2	-	17934893:17935096	17934245:17934331	17927094:17927218	N/A	NM_024624,NM_001142286	chr2:17927094-17935096
CAS	chr2:-:SMEK2:CAS:0	chr2	-	55804451:55804492	55800755:55800913	55795330:55795499	N/A	NM_020463,NM_001122964;NM_020463,NM_001282850	chr2:55795330-55804492
CAS	chr2:-:SMEK2:CAS:1	chr2	-	55806815:55806917	55805383:55805478	55804451:55804492	N/A	NM_001282850,NM_001122964;NM_020463,NM_001122964	chr2:55804451-55806917
CAS	chr2:-:SMPD4:CAS:0	chr2	-	130921947:130922018	130918759:130918845	130914824:130914969	N/A	NM_001171083,NM_017951;NM_001171083,NR_033230;NM_001171083,NR_033231;NM_017751,NM_017951;NM_017751,NR_033230;NM_017751,NR_033231;NR_033232,NM_017951;NR_033232,NR_033230;NR_033232,NR_033231	chr2:130914824-130922018
CAS	chr2:+:SNX17:CAS:0	chr2	+	27597213:27597300	27597556:27597625	27597928:27598020	N/A	NR_049788,NM_001267059;NR_049788,NM_001267060;NR_049788,NM_001267061;NR_049788,NM_014748;NR_049788,NR_049782;NR_049788,NR_049783;NR_049788,NR_049784;NR_049788,NR_049785;NR_049788,NR_049786;NR_049788,NR_049787	chr2:27597213-27598020
CAS	chr2:+:SPAST:CAS:0	chr2	+	32314591:32314674	32323865:32323960	32339707:32339894	N/A	NM_199436,NM_014946	chr2:32314591-32339894
CAS	chr2:+:SPATS2L:CAS:0	chr2	+	201194154:201194203	201253946:201254006	201277034:201277142	N/A	NM_001282743,NM_001100422;NM_001282743,NM_001100423;NM_001282743,NM_001100424;NM_001282743,NM_001282735;NM_001282743,NM_001282744;NM_001282743,NM_015535	chr2:201194154-201277142
CAS	chr2:+:SPATS2L:CAS:1	chr2	+	201283973:201284219	201303845:201304051	201305372:201305507	N/A	NM_001100424,NM_001100422;NM_001100424,NM_001100423;NM_001100424,NM_001282735;NM_001100424,NM_001282743;NM_001100424,NM_001282744;NM_001100424,NM_015535	chr2:201283973-201305507
CAS	chr2:-:SPHKAP:CAS:0	chr2	-	228860225:228860410	228858250:228858336	228855990:228856042	N/A	NM_030623,NM_001142644	chr2:228855990-228860410
CAS	chr2:-:SRSF7:CAS:0	chr2	-	38973836:38973889	38973286:38973321	38970741:38972329	N/A	NM_001195446,NM_001031684	chr2:38970741-38973889
CAS	chr2:+:STON1:CAS:0	chr2	+	48757308:48757355	48757852:48757968	48807726:48809702	N/A	NM_006873,NM_001198595	chr2:48757308-48809702
CAS	chr2:-:SUMO1:CAS:0	chr2	-	203103163:203103322	203084755:203084829	203079080:203079157	N/A	NM_001005782,NM_001005781;NM_001005782,NM_003352	chr2:203079080-203103322
CAS	chr2:-:THUMPD2:CAS:0	chr2	-	39988471:39988558	39984388:39984508	39983029:39983100	N/A	NM_025264,NR_028102	chr2:39983029-39988558
CAS	chr2:-:TIA1:CAS:0	chr2	-	70456396:70456450	70456191:70456223	70454867:70454954	N/A	NM_022037,NM_022173	chr2:70454867-70456450
CAS	chr2:-:TMEM150A:CAS:0	chr2	-	85828144:85828230	85827468:85827535	85827014:85827141	N/A	NR_033179,NM_001031738	chr2:85827014-85828230
CAS	chr2:+:TMEM214:CAS:0	chr2	+	27258003:27258153	27258462:27258596	27258838:27258920	N/A	NM_001083590,NM_017727	chr2:27258003-27258920
CAS	chr2:-:TP53I3:CAS:0	chr2	-	24303689:24303901	24302314:24302510	24300303:24300631	N/A	NM_001206802,NM_004881;NM_001206802,NM_147184	chr2:24300303-24303901
CAS	chr2:+:TPO:CAS:0	chr2	+	1459848:1460054	1480858:1481376	1488368:1488626	N/A	NM_175722,NM_000547;NM_175722,NM_001206744;NM_175722,NM_001206745;NM_175722,NM_175719;NM_175722,NM_175721	chr2:1459848-1488626
CAS	chr2:+:TPO:CAS:1	chr2	+	1488368:1488626	1491593:1491763	1497574:1497811	N/A	NM_001206745,NM_000547;NM_001206745,NM_001206744;NM_001206745,NM_175721;NM_001206745,NM_175722;NM_175719,NM_000547;NM_175719,NM_001206744;NM_175719,NM_175721;NM_175719,NM_175722	chr2:1488368-1497811
CAS	chr2:+:TPO:CAS:2	chr2	+	1500367:1500537	1507720:1507851	1520655:1520754	N/A	NM_175721,NM_000547;NM_175721,NM_001206744;NM_175721,NM_001206745;NM_175721,NM_175719;NM_175721,NM_175722	chr2:1500367-1520754
CAS	chr2:-:TRABD2A:CAS:0	chr2	-	85097349:85097909	85068985:85069131	85066273:85066447	N/A	NM_001080824,NM_001277053	chr2:85066273-85097909
CAS	chr2:+:TRIM54:CAS:0	chr2	+	27522113:27522284	27522398:27522523	27527827:27527922	N/A	NM_187841,NM_032546	chr2:27522113-27527922
CAS	chr2:-:TSGA10:CAS:0	chr2	-	99743511:99743639	99735014:99735149	99734007:99734222	N/A	NM_182911,NM_025244	chr2:99734007-99743639
CAS	chr2:+:TTC21B-AS1:CAS:0	chr2	+	166790367:166790586	166791244:166791299	166803707:166803851	N/A	NR_038984,NR_038983	chr2:166790367-166803851
CAS	chr2:+:TTC31:CAS:0	chr2	+	74710449:74710537	74717152:74717254	74717371:74717600	N/A	NR_027749,NM_022492	chr2:74710449-74717600
CAS	chr2:+:TTC7A:CAS:0	chr2	+	47220589:47220667	47221496:47221653	47222275:47222338	N/A	NM_001288955,NM_001288951;NM_001288955,NM_001288953;NM_001288955,NM_020458	chr2:47220589-47222338
CAS	chr2:+:TTC7A:CAS:1	chr2	+	47273454:47273570	47274405:47274476	47277088:47277185	N/A	NM_001288953,NM_001288951;NM_001288955,NM_001288951;NM_020458,NM_001288951	chr2:47273454-47277185
CAS	chr2:-:TTN:CAS:0	chr2	-	179656799:179656924	179655435:179655572	179654705:179654842	N/A	NM_003319,NM_001256850;NM_003319,NM_001267550;NM_003319,NM_133378;NM_003319,NM_133379;NM_133432,NM_001256850;NM_133432,NM_001267550;NM_133432,NM_133378;NM_133432,NM_133379;NM_133437,NM_001256850;NM_133437,NM_001267550;NM_133437,NM_133378;NM_133437,NM_133379	chr2:179654705-179656924
CAS	chr2:+:UNC80:CAS:0	chr2	+	210846903:210847041	210849580:210849636	210856890:210856971	N/A	NM_182587,NM_032504	chr2:210846903-210856971
CAS	chr2:+:USP39:CAS:0	chr2	+	85868099:85868241	85872071:85872206	85875053:85875139	N/A	NM_001256726,NM_001256725;NM_001256726,NM_001256727;NM_001256726,NM_001256728;NM_001256726,NM_006590;NM_001256726,NR_046347	chr2:85868099-85875139
CAS	chr2:+:VRK2:CAS:0	chr2	+	58311224:58311273	58312016:58312085	58313474:58313561	N/A	NM_001288839,NM_001130480;NM_001288839,NM_001130481;NM_001288839,NM_001130482;NM_001288839,NM_001130483;NM_001288839,NM_001288836;NM_001288839,NM_001288837;NM_001288839,NM_001288838;NM_001288839,NM_006296	chr2:58311224-58313561
CAS	chr2:+:VRK2:CAS:1	chr2	+	58373451:58373609	58381889:58381937	58386484:58387055	N/A	NM_001130480,NM_001130483;NM_001130480,NM_001288838;NM_001130481,NM_001130483;NM_001130481,NM_001288838;NM_001130482,NM_001130483;NM_001130482,NM_001288838;NM_001288836,NM_001130483;NM_001288836,NM_001288838;NM_001288837,NM_001130483;NM_001288837,NM_001288838;NM_001288839,NM_001130483;NM_001288839,NM_001288838;NM_006296,NM_001130483;NM_006296,NM_001288838	chr2:58373451-58387055
CAS	chr2:-:WDR35:CAS:0	chr2	-	20166485:20166670	20162056:20162088	20160315:20160375	N/A	NM_020779,NM_001006657	chr2:20160315-20166670
CAS	chr2:+:XIRP2:CAS:0	chr2	+	168098287:168098420	168099079:168108457	168110542:168110675	N/A	NM_001079810,NM_001199144;NM_001079810,NM_152381;NM_001199143,NM_001199144;NM_001199143,NM_152381;NM_001199145,NM_001199144;NM_001199145,NM_152381	chr2:168098287-168110675
CAS	chr2:+:ZDBF2:CAS:0	chr2	+	207144264:207144316	207145274:207145317	207146525:207146633	N/A	NM_020923,NM_001285549	chr2:207144264-207146633
CAS	chr2:+:ZDBF2:CAS:1	chr2	+	207146525:207146633	207156738:207156840	207161970:207162097	N/A	NM_020923,NM_001285549	chr2:207146525-207162097
CAS	chr2:+:ZFAND2B:CAS:0	chr2	+	220072049:220072143	220072370:220072501	220072609:220072760	N/A	NM_001270999,NM_001270998;NM_001270999,NM_138802	chr2:220072049-220072760
CAS	chr2:-:ZNF142:CAS:0	chr2	-	219520873:219521186	219516424:219516545	219515082:219515249	N/A	NM_001105537,NR_073599;NM_001105537,NR_073600	chr2:219515082-219521186
CAS	chr2:+:ZNF2:CAS:0	chr2	+	95831162:95831605	95841933:95842004	95843228:95843354	N/A	NM_001017396,NM_001282398;NM_001017396,NM_001291605;NM_001017396,NM_021088;NM_001291604,NM_001282398;NM_001291604,NM_001291605;NM_001291604,NM_021088	chr2:95831162-95843354
CAS	chr2:-:ZNF385B:CAS:0	chr2	-	180383255:180383365	180378812:180378973	180347999:180348161	N/A	NM_001113397,NR_104234;NM_001113398,NR_104234;NM_001282725,NR_104234;NM_152520,NR_104234	chr2:180347999-180383365
CAS	chr2:-:ZNF385B:CAS:1	chr2	-	180409554:180409696	180399434:180399515	180383255:180383365	N/A	NM_001113397,NR_104234;NM_001113398,NR_104234;NM_001282725,NR_104234;NM_152520,NR_104234	chr2:180383255-180409696
CAS	chr2:+:ZNF512:CAS:0	chr2	+	27822450:27822545	27822837:27822920	27823558:27823682	N/A	NM_001271286,NM_001271287;NM_001271286,NM_001271288;NM_001271286,NM_001271318;NM_001271286,NM_032434;NM_001271289,NM_001271287;NM_001271289,NM_001271288;NM_001271289,NM_001271318;NM_001271289,NM_032434	chr2:27822450-27823682
CAS	chr2:-:ZRANB3:CAS:0	chr2	-	136029338:136029457	136028871:136028965	136026532:136026711	N/A	NM_001286568,NM_001286569;NM_032143,NM_001286569	chr2:136026532-136029457
CAS	chr3:-:AADACL2-AS1:CAS:0	chr3	-	151492394:151492453	151472860:151472919	151468967:151469299	N/A	NR_110203,NR_110202	chr3:151468967-151492453
CAS	chr3:+:ABHD10:CAS:0	chr3	+	111705761:111705898	111709547:111709598	111710224:111712215	N/A	NM_018394,NM_001272069;NR_073570,NM_001272069;NR_073571,NM_001272069	chr3:111705761-111712215
CAS	chr3:+:ACPP:CAS:0	chr3	+	132051036:132051188	132056300:132056398	132061396:132061488	N/A	NM_001292037,NM_001099;NM_001292037,NM_001134194	chr3:132051036-132061488
CAS	chr3:+:ADAMTS9-AS1:CAS:0	chr3	+	64547022:64547444	64568949:64569187	64572493:64575760	N/A	NR_110151,NR_110150	chr3:64547022-64575760
CAS	chr3:+:ADIPOQ:CAS:0	chr3	+	186560463:186560538	186563346:186563396	186570840:186571061	N/A	NM_004797,NM_001177800	chr3:186560463-186571061
CAS	chr3:+:ALAS1:CAS:0	chr3	+	52232099:52232271	52232688:52232864	52233226:52233456	N/A	NM_199166,NM_000688	chr3:52232099-52233456
CAS	chr3:-:ALDH1L1:CAS:0	chr3	-	125836848:125836941	125833400:125833499	125831625:125831723	N/A	NR_072979,NM_001270364;NR_072979,NM_001270365;NR_072979,NM_012190	chr3:125831625-125836941
CAS	chr3:-:ALDH1L1:CAS:1	chr3	-	125854378:125854505	125850227:125850377	125849066:125849136	N/A	NR_072979,NM_001270364;NR_072979,NM_001270365;NR_072979,NM_012190	chr3:125849066-125854505
CAS	chr3:-:ALG1L:CAS:0	chr3	-	125655741:125655887	125653279:125653389	125652418:125652539	N/A	NM_001015050,NM_001195223	chr3:125652418-125655887
CAS	chr3:-:AMT:CAS:0	chr3	-	49458925:49459005	49457644:49457775	49457143:49457221	N/A	NM_001164710,NM_000481;NM_001164710,NM_001164711;NM_001164710,NM_001164712;NM_001164710,NR_028435	chr3:49457143-49459005
CAS	chr3:-:ANO10:CAS:0	chr3	-	43621845:43621964	43618184:43618753	43616301:43616356	N/A	NM_001204834,NM_001204831;NM_001204834,NM_001204832;NM_001204834,NM_001204833;NM_001204834,NM_018075	chr3:43616301-43621964
CAS	chr3:+:ARMC8:CAS:0	chr3	+	137942478:137942575	137947760:137947852	137953876:137953956	N/A	NM_001267041,NM_001267042;NM_001267041,NM_014154;NM_001267041,NM_015396;NM_001267041,NM_213654;NM_001282342,NM_001267042;NM_001282342,NM_014154;NM_001282342,NM_015396;NM_001282342,NM_213654	chr3:137942478-137953956
CAS	chr3:-:ASTE1:CAS:0	chr3	-	130734988:130735183	130734026:130734100	130732717:130733231	N/A	NM_014065,NM_001288950;NR_110229,NM_001288950	chr3:130732717-130735183
CAS	chr3:-:ASTE1:CAS:1	chr3	-	130737350:130737560	130735834:130735893	130734988:130735183	N/A	NM_001288950,NR_110229;NM_014065,NR_110229	chr3:130734988-130737560
CAS	chr3:+:ATG7:CAS:0	chr3	+	11350458:11350535	11354778:11354894	11356818:11356967	N/A	NM_001144912,NM_001136031;NM_001144912,NM_006395	chr3:11350458-11356967
CAS	chr3:+:ATP2C1:CAS:0	chr3	+	130649260:130649370	130650866:130650982	130653466:130653555	N/A	NM_001199182,NM_001001485;NM_001199182,NM_001001486;NM_001199182,NM_001001487;NM_001199182,NM_001199179;NM_001199182,NM_001199180;NM_001199182,NM_001199181;NM_001199182,NM_001199183;NM_001199182,NM_001199184;NM_001199182,NM_001199185;NM_001199182,NM_014382	chr3:130649260-130653555
CAS	chr3:+:ATRIP:CAS:0	chr3	+	48491443:48491576	48491899:48491981	48493135:48493305	N/A	NM_001271023,NM_001271022;NM_032166,NM_001271022;NM_130384,NM_001271022	chr3:48491443-48493305
CAS	chr3:+:ATRIP:CAS:1	chr3	+	48505440:48505531	48505981:48506061	48506230:48506482	N/A	NM_032166,NM_001271022;NM_032166,NM_001271023;NM_032166,NM_130384	chr3:48505440-48506482
CAS	chr3:+:ATXN7:CAS:0	chr3	+	63981181:63982159	63983297:63983363	63985126:63989136	N/A	NM_000333,NM_001177387;NM_001128149,NM_001177387	chr3:63981181-63989136
CAS	chr3:-:B4GALT4:CAS:0	chr3	-	118955700:118955917	118953992:118954074	118948694:118949091	N/A	NM_003778,NM_212543	chr3:118948694-118955917
CAS	chr3:+:BBX:CAS:0	chr3	+	107474445:107474525	107491475:107492483	107493566:107493704	N/A	NM_001276286,NM_001142568;NM_001276286,NM_020235	chr3:107474445-107493704
CAS	chr3:+:BBX:CAS:1	chr3	+	107497218:107497366	107508634:107508723	107510087:107510146	N/A	NM_020235,NM_001142568;NM_020235,NM_001276286	chr3:107497218-107510146
CAS	chr3:-:BCL6:CAS:0	chr3	-	187446148:187446332	187444519:187444686	187443287:187443417	N/A	NM_001134738,NM_001130845;NM_001134738,NM_001706	chr3:187443287-187446332
CAS	chr3:-:BTLA:CAS:0	chr3	-	112198302:112198616	112190059:112190202	112188605:112188651	N/A	NM_001085357,NM_181780	chr3:112188605-112198616
CAS	chr3:+:CACNA1D:CAS:0	chr3	+	53752328:53752415	53752709:53752768	53753782:53753808	N/A	NM_001128839,NM_000720;NM_001128840,NM_000720	chr3:53752328-53753808
CAS	chr3:+:CACNA1D:CAS:1	chr3	+	53796025:53796108	53804000:53804044	53804451:53804579	N/A	NM_001128839,NM_000720;NM_001128839,NM_001128840	chr3:53796025-53804579
CAS	chr3:+:CACNA1D:CAS:2	chr3	+	53835085:53835452	53836174:53836200	53837450:53837599	N/A	NM_001128839,NM_000720;NM_001128839,NM_001128840	chr3:53835085-53837599
CAS	chr3:-:CACNA2D2:CAS:0	chr3	-	50412168:50412244	50410496:50410516	50407751:50407811	N/A	NM_001005505,NM_001174051;NM_001291101,NM_001174051;NM_006030,NM_001174051	chr3:50407751-50412244
CAS	chr3:+:CADM2:CAS:0	chr3	+	86010619:86010797	86028314:86028433	86114755:86114880	N/A	NM_001167675,NM_001167674;NM_001167675,NM_001256502;NM_001167675,NM_001256503;NM_001167675,NM_153184;NM_001256504,NM_001167674;NM_001256504,NM_001256502;NM_001256504,NM_001256503;NM_001256504,NM_153184;NM_001256505,NM_001167674;NM_001256505,NM_001256502;NM_001256505,NM_001256503;NM_001256505,NM_153184	chr3:86010619-86114880
CAS	chr3:-:CADPS:CAS:0	chr3	-	62477014:62477155	62467398:62467544	62463936:62464091	N/A	NM_183393,NM_003716;NM_183394,NM_003716	chr3:62463936-62477155
CAS	chr3:-:CADPS:CAS:1	chr3	-	62484837:62484943	62479320:62479340	62477965:62478121	N/A	NM_183393,NM_003716;NM_183394,NM_003716	chr3:62477965-62484943
A3SS	chr3:+:CASR:A3SS:0	chr3	+	121994659:121994889	122000930:122001083	122000960:122001083	N/A	NM_000388,NM_001178065	chr3:121994659-122001083
AFE	chr3:+:CASR:AFE:0	chr3	+	121902530:121902659	121903181:121903376	121972795:121973221	N/A	NM_000388,NM_001178065	chr3:121902530-121973221
CAS	chr3:+:CCDC50:CAS:0	chr3	+	191087708:191087825	191092851:191093378	191097948:191098063	N/A	NM_174908,NM_178335	chr3:191087708-191098063
CAS	chr3:+:CD200:CAS:0	chr3	+	112051916:112052071	112054790:112054864	112059749:112059830	N/A	NM_005944,NM_001004196	chr3:112051916-112059830
CAS	chr3:-:CD200R1:CAS:0	chr3	-	112693638:112693937	112666703:112666771	112649953:112650018	N/A	NM_138940,NM_138806;NM_138940,NM_138939;NM_170780,NM_138806;NM_170780,NM_138939	chr3:112649953-112693937
CAS	chr3:-:CD200R1L:CAS:0	chr3	-	112564526:112564797	112556789:112556857	112548166:112548231	N/A	NM_001008784,NM_001199215	chr3:112548166-112564797
CAS	chr3:+:CD86:CAS:0	chr3	+	121825045:121825347	121828112:121828255	121836895:121836940	N/A	NM_176892,NM_001206924;NM_176892,NM_001206925;NM_176892,NM_006889;NM_176892,NM_175862	chr3:121825045-121836940
CAS	chr3:+:CD96:CAS:0	chr3	+	111286370:111286494	111296349:111296396	111297874:111298081	N/A	NM_005816,NM_198196	chr3:111286370-111298081
CAS	chr3:-:CDC25A:CAS:0	chr3	-	48224419:48224520	48222211:48222330	48219344:48219478	N/A	NM_201567,NM_001789	chr3:48219344-48224520
CAS	chr3:+:CEP63:CAS:0	chr3	+	134264991:134265130	134266177:134266314	134267904:134268018	N/A	NM_001042383,NM_001042400;NM_001042383,NM_025180;NM_001042384,NM_001042400;NM_001042384,NM_025180	chr3:134264991-134268018
