##event_type	event_id	chr	strand	e1	e2	e3	e4	alt_transcript_supports	event_coordinate
CAS	chr1:+:SH3GLB1:CAS:0	chr1	+	87170253:87170654	87181407:87181548	87185190:87185318	N/A	NM_001206653,NM_001206651;NM_001206653,NM_001206652;NM_001206653,NM_016009	chr1:87170253-87185318
A3SS	chr1:-:SHC1:A3SS:0	chr1	-	154938638:154938707	154938422:154938556	154938422:154938553	N/A	NM_001130041,NM_001130040;NM_001130041,NM_003029;NM_001202859,NM_001130040;NM_001202859,NM_003029;NM_183001,NM_001130040;NM_183001,NM_003029	chr1:154938422-154938707
A3SS	chr1:-:SLAMF1:A3SS:0	chr1	-	160606981:160607319	160604403:160604687	160604403:160604682	N/A	NR_104401,NM_003037;NR_104401,NR_104399;NR_104401,NR_104400	chr1:160604403-160607319
A3SS	chr1:-:SLAMF6:A3SS:0	chr1	-	160459988:160460026	160458878:160458960	160458878:160458957	N/A	NM_001184715,NM_001184714;NM_001184715,NM_001184716;NM_052931,NM_001184714;NM_052931,NM_001184716	chr1:160458878-160460026
A3SS	chr1:-:SLAMF6:A3SS:1	chr1	-	160492934:160493052	160465851:160466183	160465851:160466036	N/A	NM_001184715,NM_001184714;NM_001184715,NM_052931	chr1:160465851-160493052
A5SS	chr1:+:SLAMF7:A5SS:0	chr1	+	160719611:160719883	160719611:160719922	160720094:160720213	N/A	NM_001282590,NM_001282594;NM_001282592,NM_001282594;NM_001282595,NM_001282594;NM_001282596,NM_001282594;NM_021181,NM_001282594	chr1:160719611-160720213
A5SS	chr1:-:SLAMF9:A5SS:0	chr1	-	159923235:159923443	159923099:159923443	159921282:159921656	N/A	NM_001146173,NM_001146172	chr1:159921282-159923443
CAS	chr1:-:SLC16A4:CAS:0	chr1	-	110923604:110923765	110921475:110921978	110919572:110919783	N/A	NM_001201549,NM_001201546;NM_001201549,NM_001201547;NM_001201549,NM_001201548;NM_001201549,NM_004696	chr1:110919572-110923765
A3SS	chr1:-:SLC1A7:A3SS:0	chr1	-	53558226:53558459	53556284:53556478	53556284:53556450	N/A	NR_109858,NM_001287597;NR_109858,NM_006671	chr1:53556284-53558459
A3SS	chr1:-:SLC1A7:A3SS:1	chr1	-	53558226:53558459	53556284:53556655	53556284:53556450	N/A	NR_109858,NM_001287595	chr1:53556284-53558459
A3SS	chr1:-:SLC1A7:A3SS:2	chr1	-	53558226:53558459	53556284:53556655	53556284:53556478	N/A	NM_001287597,NM_001287595;NM_006671,NM_001287595	chr1:53556284-53558459
AFE	chr1:-:SLC25A24:AFE:0	chr1	-	108742578:108742980	108735118:108735431	108728450:108728576	N/A	NM_013386,NM_213651	chr1:108728450-108742980
A3SS	chr1:+:SLC25A44:A3SS:0	chr1	+	156169626:156170263	156177653:156177804	156177677:156177804	N/A	NM_014655,NM_001286184	chr1:156169626-156177804
A3SS	chr1:-:SLC30A10:A3SS:0	chr1	-	220101143:220101993	220100370:220100485	220100370:220100447	N/A	NM_018713,NR_046437	chr1:220100370-220101993
CAS	chr1:-:SLC30A2:CAS:0	chr1	-	26371488:26371708	26370789:26370935	26369889:26370042	N/A	NM_032513,NM_001004434	chr1:26369889-26371708
AFE	chr1:+:SLC35A3:AFE:0	chr1	+	100435345:100435718	100435992:100436200	100459093:100459297	N/A	NM_001271684,NM_001271685;NM_012243,NM_001271685	chr1:100435345-100459297
CAS	chr1:-:SLC35E2:CAS:0	chr1	-	1677163:1677438	1675690:1676107	1670675:1671143	N/A	NM_182838,NM_001199787	chr1:1670675-1677438
ALE	chr1:-:SLC35E2:ALE:0	chr1	-	1666129:1666274	1658824:1663962	1656277:1656861	N/A	NM_001199787,NM_182838	chr1:1656277-1666274
CAS	chr1:-:SLC35E2B:CAS:0	chr1	-	1623888:1624243	1622415:1622832	1607817:1608285	N/A	NM_001110781,NM_001290264	chr1:1607817-1624243
CAS	chr1:-:SLC39A1:CAS:0	chr1	-	153935005:153935223	153934696:153934826	153931575:153933230	N/A	NM_001271961,NM_001271957;NM_001271961,NM_001271958;NM_001271961,NM_001271959;NM_001271961,NM_001271960;NM_001271961,NM_014437	chr1:153931575-153935223
AFE	chr1:-:SLC39A1:AFE:0	chr1	-	153935971:153936117	153935535:153935844	153935005:153935223	N/A	NM_001271958,NM_001271957;NM_001271961,NM_001271957	chr1:153935005-153936117
AFE	chr1:-:SLC39A1:AFE:1	chr1	-	153935971:153936117	153935653:153935968	153935005:153935223	N/A	NM_001271958,NM_001271959;NM_001271961,NM_001271959	chr1:153935005-153936117
AFE	chr1:-:SLC39A1:AFE:2	chr1	-	153940560:153940660	153939862:153940208	153936073:153936179	N/A	NM_001271960,NM_014437	chr1:153936073-153940660
A5SS	chr1:+:SLC44A3:A5SS:0	chr1	+	95293063:95293103	95293063:95293199	95294049:95294142	N/A	NM_001258341,NM_001114106;NM_001258341,NM_001258340;NM_001258341,NM_001258342;NM_001258341,NM_152369;NM_001258343,NM_001114106;NM_001258343,NM_001258340;NM_001258343,NM_001258342;NM_001258343,NM_152369	chr1:95293063-95294142
A3SS	chr1:+:SLC44A3:A3SS:0	chr1	+	95330299:95330455	95332887:95332973	95332890:95332973	N/A	NM_001258340,NM_001114106;NM_001258340,NM_001258342;NM_001258340,NM_001258343;NM_001258340,NM_152369;NM_001258341,NM_001114106;NM_001258341,NM_001258342;NM_001258341,NM_001258343;NM_001258341,NM_152369	chr1:95330299-95332973
AFE	chr1:+:SLC44A3:AFE:0	chr1	+	95285898:95286034	95286100:95286279	95290049:95290191	N/A	NM_001258342,NM_152369;NM_001258343,NM_152369	chr1:95285898-95290191
ALE	chr1:-:SLC44A5:ALE:0	chr1	-	75677153:75677237	75672075:75672404	75667816:75669518	N/A	NM_001130058,NM_152697	chr1:75667816-75677237
A5SS	chr1:+:SLC50A1:A5SS:0	chr1	+	155108775:155108852	155108775:155108872	155109304:155109427	N/A	NM_001122839,NM_001287587;NM_001287591,NM_001287587;NM_018845,NM_001287587	chr1:155108775-155109427
A3SS	chr1:+:SLC50A1:A3SS:0	chr1	+	155109304:155109427	155110037:155110198	155110055:155110198	N/A	NM_001287591,NM_001287586;NM_001287591,NM_001287587;NM_001287591,NM_018845	chr1:155109304-155110198
AFE	chr1:+:SLC50A1:AFE:0	chr1	+	155107820:155108074	155108288:155108467	155108775:155108852	N/A	NM_001287591,NM_001122837;NM_001287591,NM_001122839;NM_001287591,NM_001287588;NM_001287591,NM_001287589;NM_001287591,NM_018845;NM_001287592,NM_001122837;NM_001287592,NM_001122839;NM_001287592,NM_001287588;NM_001287592,NM_001287589;NM_001287592,NM_018845	chr1:155107820-155108852
AFE	chr1:+:SLC50A1:AFE:1	chr1	+	155107820:155108156	155108288:155108467	155108775:155108852	N/A	NM_001287590,NM_001122837;NM_001287590,NM_001122839;NM_001287590,NM_001287588;NM_001287590,NM_001287589;NM_001287590,NM_018845	chr1:155107820-155108852
CAS	chr1:+:SLC5A9:CAS:0	chr1	+	48694522:48694626	48694775:48694849	48694967:48695131	N/A	NM_001011547,NM_001135181	chr1:48694522-48695131
A5SS	chr1:-:SLC6A9:A5SS:0	chr1	-	44476443:44476554	44476398:44476554	44475637:44475768	N/A	NM_001261380,NM_001024845;NM_001261380,NM_006934;NM_001261380,NM_201649;NM_001261380,NR_048548	chr1:44475637-44476554
A3SS	chr1:-:SLC6A9:A3SS:0	chr1	-	44466836:44466970	44466628:44466727	44466628:44466723	N/A	NR_048548,NM_001024845;NR_048548,NM_001261380;NR_048548,NM_006934;NR_048548,NM_201649;NR_048548,NR_048549	chr1:44466628-44466970
CAS	chr1:-:SLC9A1:CAS:0	chr1	-	27480474:27481621	27440317:27440777	27436018:27436268	N/A	NR_046474,NM_003047	chr1:27436018-27481621
AFE	chr1:+:SMAP2:AFE:0	chr1	+	40839378:40839895	40840305:40840380	40872408:40872541	N/A	NM_022733,NM_001198978	chr1:40839378-40872541
AFE	chr1:+:SMAP2:AFE:1	chr1	+	40839378:40839895	40859017:40859176	40872408:40872541	N/A	NM_022733,NM_001198979	chr1:40839378-40872541
AFE	chr1:+:SMAP2:AFE:2	chr1	+	40839378:40839895	40862472:40862562	40872408:40872541	N/A	NM_022733,NM_001198980	chr1:40839378-40872541
AFE	chr1:+:SMAP2:AFE:3	chr1	+	40840305:40840380	40859017:40859176	40872408:40872541	N/A	NM_001198978,NM_001198979	chr1:40840305-40872541
AFE	chr1:+:SMAP2:AFE:4	chr1	+	40840305:40840380	40862472:40862562	40872408:40872541	N/A	NM_001198978,NM_001198980	chr1:40840305-40872541
AFE	chr1:+:SMAP2:AFE:5	chr1	+	40859017:40859176	40862472:40862562	40872408:40872541	N/A	NM_001198979,NM_001198980	chr1:40859017-40872541
CAS	chr1:+:SMG7:CAS:0	chr1	+	183441506:183441784	183481972:183482003	183485009:183485126	N/A	NM_001174061,NM_173156;NM_001174061,NM_201568;NM_001174061,NM_201569	chr1:183441506-183485126
CAS	chr1:+:SMG7:CAS:1	chr1	+	183515101:183515472	183516238:183516387	183518343:183518423	N/A	NM_173156,NM_001174061;NM_173156,NM_201569;NM_201568,NM_001174061;NM_201568,NM_201569	chr1:183515101-183518423
A5SS	chr1:+:SMG7:A5SS:0	chr1	+	183511211:183511499	183511211:183511637	183513488:183513632	N/A	NM_201568,NM_001174061;NM_201568,NM_173156;NM_201569,NM_001174061;NM_201569,NM_173156	chr1:183511211-183513632
AFE	chr1:-:SMYD3:AFE:0	chr1	-	246670356:246670644	246580598:246580714	246518333:246518396	N/A	NM_001167740,NM_022743	chr1:246518333-246670644
CAS	chr1:+:SNHG3:CAS:0	chr1	+	28832455:28832596	28832732:28832839	28834640:28834672	N/A	NR_002909,NR_036473	chr1:28832455-28834672
CAS	chr1:+:SNX7:CAS:0	chr1	+	99127236:99127467	99128253:99128372	99150441:99150623	N/A	NM_015976,NR_033716;NM_152238,NR_033716	chr1:99127236-99150623
CAS	chr1:+:SNX7:CAS:1	chr1	+	99156631:99156741	99157091:99157255	99161074:99161272	N/A	NM_152238,NM_015976;NM_152238,NR_033716	chr1:99156631-99161272
CAS	chr1:+:SNX7:CAS:2	chr1	+	99167373:99167459	99203793:99203945	99225610:99226056	N/A	NR_033716,NM_015976;NR_033716,NM_152238	chr1:99167373-99226056
A3SS	chr1:+:SOAT1:A3SS:0	chr1	+	179310163:179310445	179311145:179311327	179311249:179311327	N/A	NM_001252511,NR_045530;NM_001252512,NR_045530;NM_003101,NR_045530	chr1:179310163-179311327
A3SS	chr1:-:SORT1:A3SS:0	chr1	-	109890105:109890154	109888373:109888503	109888373:109888500	N/A	NM_001205228,NM_002959	chr1:109888373-109890154
AFE	chr1:-:SORT1:AFE:0	chr1	-	109940209:109940563	109935649:109935979	109912152:109912211	N/A	NM_002959,NM_001205228	chr1:109912152-109940563
CAS	chr1:-:SPATA6:CAS:0	chr1	-	48917224:48917272	48878782:48878823	48877136:48877260	N/A	NM_001286239,NM_001286238;NM_001286239,NM_019073	chr1:48877136-48917272
A5SS	chr1:-:SPATA6:A5SS:0	chr1	-	48821390:48821441	48821342:48821441	48771459:48771550	N/A	NM_001286238,NM_001286239;NM_001286238,NM_019073	chr1:48771459-48821441
CAS	chr1:-:SPOCD1:CAS:0	chr1	-	32281562:32281652	32279552:32280973	32267265:32267306	N/A	NM_001281988,NM_001281987;NM_001281988,NM_144569	chr1:32267265-32281652
CAS	chr1:+:SPRR3:CAS:0	chr1	+	152974223:152974269	152975079:152975162	152975478:152976332	N/A	NM_001097589,NM_005416	chr1:152974223-152976332
A3SS	chr1:+:SRGAP2:A3SS:0	chr1	+	206566902:206567030	206574780:206575004	206574783:206575004	N/A	NM_001170637,NM_015326	chr1:206566902-206575004
CAS	chr1:+:SRP9:CAS:0	chr1	+	225971002:225971070	225974564:225974687	225976942:225978168	N/A	NM_003133,NM_001130440	chr1:225971002-225978168
A3SS	chr1:-:SRSF10:A3SS:0	chr1	-	24298340:24298502	24298063:24298116	24298063:24298113	N/A	NM_001191005,NM_001191006;NM_001191005,NM_006625;NM_001191005,NM_054016;NM_001191005,NR_034035;NM_001191007,NM_001191006;NM_001191007,NM_006625;NM_001191007,NM_054016;NM_001191007,NR_034035	chr1:24298063-24298502
ALE	chr1:-:SRSF10:ALE:0	chr1	-	24298063:24298113	24295573:24297929	24292937:24294213	N/A	NM_001191007,NM_001191005	chr1:24292937-24298113
ALE	chr1:-:SRSF10:ALE:1	chr1	-	24298063:24298116	24295573:24297929	24292937:24294213	N/A	NM_006625,NM_054016;NR_034035,NM_054016	chr1:24292937-24298116
ALE	chr1:-:SRSF10:ALE:2	chr1	-	24298063:24298116	24295573:24297929	24292937:24294446	N/A	NM_001191006,NM_054016	chr1:24292937-24298116
A3SS	chr1:+:SRSF11:A3SS:0	chr1	+	70671365:70671463	70687295:70687522	70687298:70687522	N/A	NM_001190987,NM_004768	chr1:70671365-70687522
A5SS	chr1:+:ST3GAL3:A5SS:0	chr1	+	44201904:44202051	44201904:44202096	44257773:44257820	N/A	NM_001270459,NM_174963;NM_001270459,NM_174964;NM_001270459,NM_174965;NM_001270460,NM_174963;NM_001270460,NM_174964;NM_001270460,NM_174965;NM_006279,NM_174963;NM_006279,NM_174964;NM_006279,NM_174965;NM_174966,NM_174963;NM_174966,NM_174964;NM_174966,NM_174965;NM_174967,NM_174963;NM_174967,NM_174964;NM_174967,NM_174965;NM_174968,NM_174963;NM_174968,NM_174964;NM_174968,NM_174965;NR_073016,NM_174963;NR_073016,NM_174964;NR_073016,NM_174965;NR_073018,NM_174963;NR_073018,NM_174964;NR_073018,NM_174965;NR_073021,NM_174963;NR_073021,NM_174964;NR_073021,NM_174965;NR_073023,NM_174963;NR_073023,NM_174964;NR_073023,NM_174965	chr1:44201904-44257820
A5SS	chr1:+:ST3GAL3:A5SS:1	chr1	+	44201904:44202051	44201904:44202096	44280563:44280605	N/A	NM_001270461,NM_001270463;NM_001270461,NM_001270465;NM_001270462,NM_001270463;NM_001270462,NM_001270465;NM_001270464,NM_001270463;NM_001270464,NM_001270465;NM_001270466,NM_001270463;NM_001270466,NM_001270465;NM_174969,NM_001270463;NM_174969,NM_001270465;NM_174970,NM_001270463;NM_174970,NM_001270465;NM_174971,NM_001270463;NM_174971,NM_001270465;NR_073020,NM_001270463;NR_073020,NM_001270465	chr1:44201904-44280605
A5SS	chr1:+:ST3GAL3:A5SS:2	chr1	+	44364840:44364935	44364840:44364961	44395804:44396837	N/A	NM_001270463,NM_001270465;NM_001270464,NM_001270465;NR_073021,NM_001270465	chr1:44364840-44396837
A3SS	chr1:+:ST3GAL3:A3SS:0	chr1	+	44364840:44364935	44365181:44365399	44365213:44365399	N/A	NM_001270459,NR_073016;NM_001270459,NR_073019;NM_001270460,NR_073016;NM_001270460,NR_073019;NM_001270461,NR_073016;NM_001270461,NR_073019;NM_001270462,NR_073016;NM_001270462,NR_073019;NM_006279,NR_073016;NM_006279,NR_073019;NM_174963,NR_073016;NM_174963,NR_073019;NM_174964,NR_073016;NM_174964,NR_073019;NM_174966,NR_073016;NM_174966,NR_073019;NM_174968,NR_073016;NM_174968,NR_073019;NM_174969,NR_073016;NM_174969,NR_073019;NM_174971,NR_073016;NM_174971,NR_073019;NR_073017,NR_073016;NR_073017,NR_073019;NR_073018,NR_073016;NR_073018,NR_073019	chr1:44364840-44365399
A3SS	chr1:+:ST3GAL3:A3SS:1	chr1	+	44365213:44365399	44386076:44386222	44386166:44386222	N/A	NM_001270459,NM_001270460;NM_001270459,NM_006279;NM_001270459,NM_174963;NM_001270459,NM_174964;NM_001270459,NM_174968;NM_001270459,NM_174969;NM_001270459,NM_174971;NM_001270459,NR_073017	chr1:44365213-44386222
A3SS	chr1:-:ST7L:A3SS:0	chr1	-	113161531:113162040	113159435:113159517	113159435:113159466	N/A	NM_138727,NM_017744;NM_138727,NM_138728;NM_138727,NM_138729	chr1:113159435-113162040
A3SS	chr1:-:STIL:A3SS:0	chr1	-	47735307:47735538	47728575:47728785	47728575:47728734	N/A	NM_001282937,NM_001282936;NM_001282937,NM_003035;NM_001282939,NM_001282936;NM_001282939,NM_003035	chr1:47728575-47735538
A3SS	chr1:-:STIL:A3SS:1	chr1	-	47735307:47735538	47728575:47728788	47728575:47728734	N/A	NM_001282937,NM_001048166;NM_001282937,NM_001282938;NM_001282939,NM_001048166;NM_001282939,NM_001282938	chr1:47728575-47735538
A3SS	chr1:-:STIL:A3SS:2	chr1	-	47735307:47735538	47728575:47728788	47728575:47728785	N/A	NM_001282936,NM_001048166;NM_001282936,NM_001282938;NM_003035,NM_001048166;NM_003035,NM_001282938	chr1:47728575-47735538
A3SS	chr1:-:STIL:A3SS:3	chr1	-	47779708:47779819	47778620:47778828	47778620:47778693	N/A	NM_001282939,NM_001282936;NM_001282939,NM_001282937;NM_001282939,NM_001282938	chr1:47778620-47779819
CAS	chr1:-:STK40:CAS:0	chr1	-	36851324:36851528	36833449:36833685	36826822:36826941	N/A	NM_001282546,NM_032017;NM_001282547,NM_032017	chr1:36826822-36851528
A3SS	chr1:-:STK40:A3SS:0	chr1	-	36826822:36826941	36824338:36824438	36824338:36824423	N/A	NM_001282547,NM_001282546;NM_032017,NM_001282546	chr1:36824338-36826941
AFE	chr1:-:STMN1:AFE:0	chr1	-	26232880:26232993	26232343:26232644	26231155:26231229	N/A	NM_001145454,NM_203401;NM_005563,NM_203401	chr1:26231155-26232993
AFE	chr1:-:STMN1:AFE:1	chr1	-	26233279:26233368	26232343:26232644	26231155:26231229	N/A	NM_203399,NM_203401	chr1:26231155-26233368
AFE	chr1:-:STMN1:AFE:2	chr1	-	26233279:26233368	26232880:26232993	26231155:26231229	N/A	NM_203399,NM_001145454;NM_203399,NM_005563	chr1:26231155-26233368
ALE	chr1:-:STMN1:ALE:0	chr1	-	26227982:26228173	26226607:26227578	26210677:26212360	N/A	NM_001145454,NM_005563;NM_001145454,NM_203399;NM_001145454,NM_203401	chr1:26210677-26228173
AFE	chr1:-:STPG1:AFE:0	chr1	-	24741401:24741587	24740164:24740262	24727809:24727946	N/A	NM_001199012,NM_001199013;NM_001199012,NM_001199014;NM_001199012,NM_178122	chr1:24727809-24741587
CAS	chr1:+:STRIP1:CAS:0	chr1	+	110582017:110582137	110582446:110582559	110583257:110583325	N/A	NM_001270768,NR_073071;NM_033088,NR_073071	chr1:110582017-110583325
AFE	chr1:+:STRIP1:AFE:0	chr1	+	110574199:110574262	110577223:110577439	110580513:110580582	N/A	NM_001270768,NM_033088;NM_001270768,NR_073071	chr1:110574199-110580582
CAS	chr1:+:SUCO:CAS:0	chr1	+	172520652:172520766	172522400:172522510	172525009:172525163	N/A	NM_001282750,NM_001282751;NM_001282750,NM_014283;NM_016227,NM_001282751;NM_016227,NM_014283	chr1:172520652-172525163
CAS	chr1:+:SUCO:CAS:1	chr1	+	172544658:172544763	172546679:172546699	172546904:172546959	N/A	NM_016227,NM_001282750;NM_016227,NM_001282751;NM_016227,NM_014283	chr1:172544658-172546959
A5SS	chr1:+:SUCO:A5SS:0	chr1	+	172557900:172558064	172557900:172559066	172560124:172560211	N/A	NM_001282750,NM_001282751;NM_001282750,NM_014283;NM_001282750,NM_016227	chr1:172557900-172560211
CAS	chr1:+:SYCP1:CAS:0	chr1	+	115488910:115489002	115489867:115489941	115520178:115520237	N/A	NM_001282542,NM_001282541;NM_001282542,NM_003176;NM_001282542,NR_104211	chr1:115488910-115520237
CAS	chr1:+:SYCP1:CAS:1	chr1	+	115527346:115527489	115528800:115528902	115537319:115537408	N/A	NM_001282541,NR_104211;NM_001282542,NR_104211;NM_003176,NR_104211	chr1:115527346-115537408
A3SS	chr1:+:SYCP1:A3SS:0	chr1	+	115397424:115397639	115398059:115398193	115398062:115398193	N/A	NM_003176,NM_001282541;NM_003176,NM_001282542;NR_104211,NM_001282541;NR_104211,NM_001282542	chr1:115397424-115398193
CAS	chr1:-:SYF2:CAS:0	chr1	-	25558595:25558702	25555489:25555614	25554609:25554726	N/A	NM_207170,NM_015484	chr1:25554609-25558702
CAS	chr1:-:SYNC:CAS:0	chr1	-	33149859:33149983	33149611:33149690	33145507:33147461	N/A	NM_001161708,NM_030786	chr1:33145507-33149983
CAS	chr1:+:SYT14:CAS:0	chr1	+	210329066:210329255	210332766:210332822	210334074:210337633	N/A	NM_001146264,NM_001146261;NM_001146264,NM_001146262;NM_001256006,NM_001146261;NM_001256006,NM_001146262;NM_153262,NM_001146261;NM_153262,NM_001146262;NR_027459,NM_001146261;NR_027459,NM_001146262	chr1:210329066-210337633
A5SS	chr1:+:SYT14:A5SS:0	chr1	+	210273357:210273535	210273357:210273806	210329066:210329255	N/A	NR_027459,NM_001146261;NR_027459,NM_001146262;NR_027459,NM_001146264;NR_027459,NM_001256006;NR_027459,NM_153262	chr1:210273357-210329255
AFE	chr1:-:SYT2:AFE:0	chr1	-	202679386:202679551	202612406:202612581	202574723:202574917	N/A	NM_177402,NM_001136504	chr1:202574723-202679551
AFE	chr1:-:SYT6:AFE:0	chr1	-	114696232:114696472	114694840:114695062	114682237:114682502	N/A	NM_001270805,NM_205848	chr1:114682237-114696472
A3SS	chr1:+:SYTL1:A3SS:0	chr1	+	27674458:27674503	27675571:27675643	27675607:27675643	N/A	NM_032872,NM_001193308	chr1:27674458-27675643
A3SS	chr1:+:SZRD1:A3SS:0	chr1	+	16693525:16693803	16719723:16719977	16719726:16719977	N/A	NR_073503,NR_073502	chr1:16693525-16719977
A3SS	chr1:+:SZRD1:A3SS:1	chr1	+	16717870:16717919	16719723:16719977	16719726:16719977	N/A	NM_001271869,NM_001114600;NM_001271869,NR_073501	chr1:16717870-16719977
CAS	chr1:-:TAF1A:CAS:0	chr1	-	222761785:222761907	222757470:222757639	222753101:222753214	N/A	NM_139352,NM_001201536;NM_139352,NM_005681	chr1:222753101-222761907
AFE	chr1:-:TAGLN2:AFE:0	chr1	-	159894284:159894341	159893226:159893507	159890120:159890327	N/A	NM_001277223,NM_001277224	chr1:159890120-159894341
AFE	chr1:-:TAGLN2:AFE:1	chr1	-	159895240:159895332	159893226:159893507	159890120:159890327	N/A	NM_003564,NM_001277224	chr1:159890120-159895332
AFE	chr1:-:TAGLN2:AFE:2	chr1	-	159895240:159895332	159894284:159894341	159890120:159890327	N/A	NM_003564,NM_001277223	chr1:159890120-159895332
AFE	chr1:-:TAL1:AFE:0	chr1	-	47697520:47697561	47697329:47697387	47694868:47695023	N/A	NM_001290405,NM_001287347	chr1:47694868-47697561
AFE	chr1:-:TAL1:AFE:1	chr1	-	47697839:47698007	47697329:47697387	47694868:47695023	N/A	NM_001290403,NM_001287347	chr1:47694868-47698007
AFE	chr1:-:TAL1:AFE:2	chr1	-	47697839:47698007	47697520:47697561	47694868:47695023	N/A	NM_001290403,NM_001290405	chr1:47694868-47698007
CAS	chr1:+:TAS1R1:CAS:0	chr1	+	6630969:6631275	6634691:6635452	6636475:6636687	N/A	NM_177540,NM_138697	chr1:6630969-6636687
CAS	chr1:+:TATDN3:CAS:0	chr1	+	212970454:212970538	212976043:212976105	212977662:212977771	N/A	NM_001146170,NM_001042552;NM_001146170,NM_001042553;NM_001146170,NM_001146169;NM_001146170,NM_001146171	chr1:212970454-212977771
A3SS	chr1:+:TATDN3:A3SS:0	chr1	+	212981078:212981190	212985569:212985670	212985590:212985670	N/A	NM_001042552,NM_001146169;NM_001042552,NM_001146171;NM_001146170,NM_001146169;NM_001146170,NM_001146171	chr1:212981078-212985670
A3SS	chr1:+:TATDN3:A3SS:1	chr1	+	212981078:212981190	212985569:212985670	212985593:212985670	N/A	NM_001042553,NM_001146169;NM_001042553,NM_001146171	chr1:212981078-212985670
A3SS	chr1:+:TATDN3:A3SS:2	chr1	+	212981078:212981190	212985590:212985670	212985593:212985670	N/A	NM_001042553,NM_001042552;NM_001042553,NM_001146170	chr1:212981078-212985670
CAS	chr1:+:TBCE:CAS:0	chr1	+	235543334:235543464	235564818:235564902	235577748:235577933	N/A	NM_001287802,NM_001079515;NM_001287802,NM_001287801;NM_001287802,NM_003193	chr1:235543334-235577933
CAS	chr1:+:TBCE:CAS:1	chr1	+	235594020:235594119	235596261:235596413	235597519:235597595	N/A	NM_001079515,NM_001287801;NM_001287802,NM_001287801;NM_003193,NM_001287801	chr1:235594020-235597595
A3SS	chr1:+:TBCE:A3SS:0	chr1	+	235577748:235577933	235582732:235582876	235582788:235582876	N/A	NM_001079515,NM_001287802;NM_001287801,NM_001287802;NM_003193,NM_001287802	chr1:235577748-235582876
CAS	chr1:+:TDRD5:CAS:0	chr1	+	179621174:179621332	179623336:179623497	179631239:179631421	N/A	NM_001199091,NM_001199085;NM_001199091,NM_001199089;NM_001199092,NM_001199085;NM_001199092,NM_001199089;NM_173533,NM_001199085;NM_173533,NM_001199089	chr1:179621174-179631421
ALE	chr1:+:TEX35:ALE:0	chr1	+	178490357:178490399	178490807:178490946	178491460:178491789	N/A	NM_032126,NM_001170723	chr1:178490357-178491789
ALE	chr1:+:TEX35:ALE:1	chr1	+	178490357:178490399	178490807:178490946	178492437:178492635	N/A	NM_001170722,NM_001170723;NM_001170724,NM_001170723	chr1:178490357-178492635
ALE	chr1:+:TEX35:ALE:2	chr1	+	178490357:178490399	178491460:178491789	178492437:178492635	N/A	NM_001170722,NM_032126;NM_001170724,NM_032126	chr1:178490357-178492635
CAS	chr1:+:TGFB2:CAS:0	chr1	+	218518676:218520389	218536676:218536759	218578511:218578674	N/A	NM_003238,NM_001135599	chr1:218518676-218578674
CAS	chr1:-:TGFBR3:CAS:0	chr1	-	92327028:92327201	92266516:92266612	92262844:92263028	N/A	NM_001195683,NR_036634;NM_001195684,NR_036634;NM_003243,NR_036634	chr1:92262844-92327201
A3SS	chr1:-:TGFBR3:A3SS:0	chr1	-	92187512:92187701	92185450:92185787	92185450:92185784	N/A	NM_001195683,NM_003243;NM_001195683,NR_036634;NM_001195684,NM_003243;NM_001195684,NR_036634	chr1:92185450-92187701
A3SS	chr1:+:THAP3:A3SS:0	chr1	+	6688559:6688751	6690348:6690413	6690351:6690413	N/A	NM_001195752,NM_001195753;NM_001195752,NM_138350	chr1:6688559-6690413
A3SS	chr1:+:THAP3:A3SS:1	chr1	+	6690348:6690413	6692430:6692555	6692451:6692555	N/A	NM_001195753,NM_138350	chr1:6690348-6692555
A5SS	chr1:-:THBS3:A5SS:0	chr1	-	155175991:155176197	155175984:155176197	155174851:155175107	N/A	NM_001252607,NR_045553;NM_007112,NR_045553	chr1:155174851-155176197
A3SS	chr1:-:THBS3:A3SS:0	chr1	-	155172052:155172192	155171748:155171905	155171748:155171825	N/A	NM_001252607,NR_045553;NM_001252608,NR_045553;NM_007112,NR_045553	chr1:155171748-155172192
A3SS	chr1:+:TIE1:A3SS:0	chr1	+	43766566:43766800	43770522:43770836	43770605:43770836	N/A	NM_001253357,NM_005424	chr1:43766566-43770836
CAS	chr1:+:TINAGL1:CAS:0	chr1	+	32044805:32044868	32048750:32048842	32049062:32049176	N/A	NM_001204414,NM_001204415;NM_001204414,NM_022164	chr1:32044805-32049176
AFE	chr1:+:TMCC2:AFE:0	chr1	+	205197038:205197899	205198059:205198256	205210633:205211172	N/A	NM_014858,NM_001242925	chr1:205197038-205211172
AFE	chr1:+:TMCC2:AFE:1	chr1	+	205215624:205215819	205225329:205225544	205238078:205239012	N/A	NM_001297611,NM_001297613	chr1:205215624-205239012
A3SS	chr1:-:TMCO1:A3SS:0	chr1	-	165737996:165738159	165737429:165737506	165737429:165737481	N/A	NM_001256164,NR_045818	chr1:165737429-165738159
CAS	chr1:-:TMED5:CAS:0	chr1	-	93621857:93622040	93621593:93621641	93615299:93620445	N/A	NM_016040,NM_001167830;NR_030761,NM_001167830	chr1:93615299-93622040
